target,target_freq,target_neighbors
CALLED,7.757,5
DANCED,5.844,0
WALKED,5.481,0
LIED,9.033,3
TALKED,7.705,1
ESCAPED,7.687,2
PLAYED,5.081,3
JOINED,7.914,0
YELLED,6.923,8
VISITED,7.124,0
AGREED,6.131,0
ENTERED,9.513,1
JUMPED,7.958,4
LAUGHED,8.389,3
PANICKED,5.606,7
RELAXED,9.351,4
SAILED,7.063,4
SIGHED,8.264,2
WEAVED,6.569,4
WORKED,7.65,4
WAVED,10.998,4
STUDIED,5.645,5
PRAYED,5.697,4
MOVED,7.044,10
TRIPPED,9.925,5
TOPPLED,9.614,4
COOKED,9.014,0
FAINTED,11.099,5
GLARED,6.1,1
SNORTED,5.624,0
SEWED,9.763,4
SMILED,8.436,1
GRINNED,5.268,1
PUSHED,8.929,2
PLUGGED,10.175,5
CAUSED,9.104,6
MOBBED,6.851,1
WARNED,5.938,3
WINKED,10.214,8
SHOUTED,8.168,2
TREMBLED,9.635,0
RAGED,6.898,1
WINCED,7.993,3
ALARMED,10.572,1
HISSED,7.311,3
MUMBLED,8.151,9
CONFERRED,6.087,0
RENTED,5.398,7
RUSHED,10.323,2
CONFESSED,12.143,6
SMIRKED,7.571,5
STAYED,7.357,1
LOGGED,7.082,5
MOURNED,6.851,0
BEGGED,8.786,0
DEVELOPED,6.39,0
EMITTED,6.522,5
SEIZED,10.46,7
BETRAYED,4.86,1
SURVIVED,7.559,2
STARTLED,8.632,9
FLEED,8.402,7
CLAPPED,9.994,1
REPLIED,8.712,6
FOCUSED,9.314,2
FOLLOWED,5.609,0
SURMISED,6.31,2
FAILED,7.651,0
RISKED,5.924,4
MELTED,10.336,1
BOILED,8.857,1
DREAMED,NA,NA
STOPPED,NA,NA
SHINED,NA,NA
HOWLED,NA,NA
TRAVEL,9.212,0
ENABLE,10.682,0
CLICK,7.597,4
INCLINE,9.678,6
INVOLVE,10.13,0
INVEST,8.704,0
LISTEN,7.562,0
MEASURE,10.819,0
NEGLECT,10.432,1
COMPETE,11.178,1
COMPUTE,9.436,0
PREFER,8.983,5
PROTECT,11.881,0
REFUSE,6.497,0
CONTEST,5.204,1
RESIST,10.232,0
SHRINK,7.962,0
BLOCK,11.099,0
SUGGEST,10.163,2
DANGLE,8.574,11
CONSIST,8.331,1
WEIGH,11.325,2
REALIZE,10.736,1
APPEAR,10.207,0
DISCUSS,10.834,0
AFFORD,9.592,11
INCLUDE,7.479,1
DEPEND,8.315,3
CATCH,6.14,6
CHOOSE,8.929,4
FORBID,9.561,0
LEARN,8.989,1
SHAKE,9.597,3
DEMAND,9.978,2
DESERVE,10.458,0
DECIDE,9.241,0
STACK,10.287,2
AMEND,8.35,2
PAINT,8.44,0
PINCH,8.061,2
BOUNCE,9.055,1
REDUCE,8.778,1
CHARTER,9.906,7
PROMOTE,10.813,1
EXECUTE,11.965,2
AGITATE,10.025,6
OBSERVE,7.913,0
OBTAIN,9.298,3
ABUSE,10.412,3
ADVISE,9.603,0
EXCISE,10.44,0
ELAPSE,10.747,1
APPROACH,7.741,0
BELONG,5.198,0
SPOIL,9.833,0
IGNORE,9.112,1
SECURE,7.459,6
IMPLORE,8.645,2
MEASURE,10.681,2
FREEZE,7.925,1
PUBLISH,9.131,0
FORGET,6.105,2
SETTLE,9.036,0
SUSPECT,9.438,1
HAMPER,4.762,0
HARNESS,6.8,0
BYPASS,10.316,0
VALUE,9.392,1
CHANGE,9.246,1
CONVINCE,10.158,1
EXAMINE,10.486,3
HAPPEN,5.624,5
DITCH,9.399,0
MENTION,9.892,0
COMFORT,NA,NA
